filename,title,id,slug,url,created,tags_before,tags_after
leaflet.md,Leaflet,DG-RSRCH-317,leaflet,https://leafletjs.com,"August 31, 2025 6:26 PM",digital-humanities;library;mapping;maps,digital-humanities;library;mapping;maps
leipzig-corpus-miner-lcm.md,Leipzig Corpus Miner (LCM),DG-RSRCH-13,leipzig-corpus-miner-lcm,https://ilcm.informatik.uni-leipzig.de/,"August 31, 2025 2:51 PM",digital-humanities;platform;r;reproducibility;saas;text-mining,digital-humanities;platform;r;reproducibility;saas;text-mining
lexos.md,Lexos,DG-RSRCH-14,lexos,http://lexos.wheatoncollege.edu/,"August 31, 2025 2:51 PM",digital-humanities;r;text-analysis;webapp,digital-humanities;r;text-analysis;webapp
luxembourg-centre-for-contemporary-and-digital-history.md,Luxembourg Centre for Contemporary and Digital History,DG-RSRCH-37,luxembourg-centre-for-contemporary-and-digital-history,https://www.c2dh.uni.lu/,"August 31, 2025 2:51 PM",austria;dh;digital-humanities;institute;luxembourg;organization;r;switzerland,austria;dh;digital-humanities;institute;luxembourg;organization;r;switzerland
mallet.md,Mallet,DG-RSRCH-15,mallet,https://mimno.github.io/Mallet/,"August 31, 2025 2:51 PM",classification;digital-humanities;java;nlp;r;topic-modeling,classification;digital-humanities;java;nlp;r;topic-modeling
manifold.md,Manifold,DG-RSRCH-74,manifold,https://manifoldapp.org/,"August 31, 2025 2:51 PM",digital-humanities;publishing;reading,digital-humanities;publishing;reading
mapwarper.md,MapWarper,DG-RSRCH-315,mapwarper,https://mapwarper.net,"August 31, 2025 6:26 PM",digital-humanities;georeferencing;maps,digital-humanities;georeferencing;maps
mirador.md,Mirador,DG-RSRCH-312,mirador,https://projectmirador.org,"August 31, 2025 6:26 PM",digital-humanities;iiif;viewer,digital-humanities;iiif;viewer
missing-semester.md,Missing Semester,DG-RSRCH-95,missing-semester,https://missing.csail.mit.edu/,"August 31, 2025 2:51 PM",course;digital-editions;digital-humanities;python;r;rutgers;tools;ucla,course;digital-editions;digital-humanities;python;r;rutgers;tools;ucla
mukurtu.md,Mukurtu,DG-RSRCH-329,mukurtu,https://mukurtu.org,"August 31, 2025 6:26 PM",digital-humanities,digital-humanities
mupdf.md,MuPDF,DG-RSRCH-23,mupdf,https://mupdf.com/,"August 31, 2025 2:51 PM",converter;digital-humanities;pdf;r;viewer,converter;digital-humanities;pdf;r;viewer
networkx.md,NetworkX,DG-RSRCH-322,networkx,https://networkx.org,"August 31, 2025 6:26 PM",analysis;digital-humanities;networks;python,analysis;digital-humanities;networks;python
new-languages-for-nlp.md,New Languages for NLP,DG-RSRCH-96,new-languages-for-nlp,https://new-languages-for-nlp.github.io/course-materials/intro.html,"August 31, 2025 2:51 PM",course;digital-editions;digital-humanities;nlp;python;r;rutgers;tools;ucla,course;digital-editions;digital-humanities;nlp;python;r;rutgers;tools;ucla
nltk.md,NLTK,DG-RSRCH-306,nltk,https://www.nltk.org,"August 31, 2025 6:26 PM",digital-humanities;nlp;python,digital-humanities;nlp;python
oapen.md,OAPEN,DG-RSRCH-294,oapen,https://oapen.org,"August 31, 2025 6:26 PM",digital-humanities;open-access,digital-humanities;open-access
ocrmypdf.md,OCRmyPDF,DG-RSRCH-22,ocrmypdf,https://github.com/jbarlow83/OCRmyPDF,"August 31, 2025 2:51 PM",digital-humanities;ocr;pdf;r,digital-humanities;ocr;pdf;r
omeka.md,Omeka,DG-RSRCH-75,omeka,https://omeka.org/,"August 31, 2025 2:51 PM",digital-humanities;exhibits;plugins;publishing;r,digital-humanities;exhibits;plugins;publishing;r
open-eu-data-portal.md,Open EU Data Portal,DG-RSRCH-3,open-eu-data-portal,https://data.europa.eu/euodp/en/data/,"August 31, 2025 2:51 PM",api;data;data-portal;digital-humanities;european-union;knowledge-graph;open-data;portal,api;data;data-portal;digital-humanities;european-union;knowledge-graph;open-data;portal
open-greek-and-latin.md,Open Greek and Latin,DG-RSRCH-300,open-greek-and-latin,https://opengreekandlatin.github.io,"August 31, 2025 6:26 PM",digital-humanities,digital-humanities
